,Unnamed: 0,Unnamed: 0.1,ID,tweet_id,text,missing_text,Text_Only_Informative,Image_Only_Informative,Directed_Hate,Generalized_Hate,Sarcasm,Allegation,Justification,Refutation,Support,Oppose
0,0,0,0,1.05224e+18,"New post Domestic Violence Awareness Hasnt Caught Up With    New York Times has been published on Might Get Fit  
",0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.05221e+18,"Domestic Violence Awareness Hasn’t Caught Up With  Here’s Why 
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,2,2,2,1.05218e+18,"Mother Nature’s  
",0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,4,4,1.0521e+18,"It is high time  named and shamed men in media and advertising across India  Mumbrella Asia 
",0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5,5,5,5,1.05205e+18,"“Theres this idea that persistence involves systematically ignoring all the signals and queues admitted by the other person because they’re less important than what you want”  UTS student Olivia on consent in our After  podcast series 
",0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
7,7,7,7,1.05199e+18,"Meredith’s  moment on TheOffice 
",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,9,9,1.05194e+18,"What a shock hey Old Bill is in the clear amp every single ImWithHer  moron will swallow this huge pile of shit without a single gag ‍
Hypocrites 
",0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10,10,10,10,1.05182e+18,"Wonder what else HillaryClinton thinks it was

Lust or Love  if not 


",0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
11,11,11,11,1.05182e+18,"RichCraigFletch TerrollLewis DanielSlaney I bet he saw her coming and put his bag there on purpose 

Obviously her parents never taught her why its bad to cry wolf

People like her are entirely to blame for why the system is so sceptical towards women who come forward 

WorldMentaHealthDay 
BelieveAllWomen 
 
",0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
12,12,12,12,1.05174e+18," days
 million tweets
One powerful movement

Today marks one year since  went viral 
Sexual amp genderbased violence is a human rights violation and were committed to ending it  
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,13,13,1.05174e+18,"NSW police officer Mitchell Willey could be kicked out of the force after admitting he groped a woman at Defqon dance festival in Penrith last year His lawyer argued against a criminal conviction saying the constable shouldnt be punished because of the  movement News 
",0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,14,14,14,1.05172e+18,"Poor kid USPolitics auspol ukpol  TimesUp 
",0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
15,15,15,15,1.05171e+18,"NSW police officer Mitchell Willey could be kicked out of the force after admitting he groped a woman at Defqon dance festival in Penrith last year His lawyer argued against a criminal conviction saying the constable shouldnt be punished because of the  movement News 
",0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
16,16,16,16,1.0517e+18,"daniries  literally 
",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,17,17,1.05167e+18,"Falsefly jenniferlar What a grot Im familiar with this type of individual Meet chloeingramm  Chloe ingram  FalseAllegations 
",0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
19,19,19,19,1.05166e+18," days
 million tweets
One powerful movement

Today marks one year since  went viral 
Sexual amp genderbased violence is a human rights violation and were committed to ending it  
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,22,22,22,1.05163e+18,"Sometimes we unintentionally hurt others by failing to have consideration for their feelings wishes or rights It’s important to acknowledge that although it wasn’t your intention we are sorry for the pain our actions caused
sexualviolenceawarenessmonth respect  
",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,23,23,1.0516e+18,"One year amp  million tweets later Today marks a year of the viral  movement 

Thank you for sharing your stories You are not alone 

Sexual amp genderbased violence is a human rights violation and were committed to ending it  
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24,24,24,24,1.0516e+18,"About to go on abcbrisbane abcbrisbane radio to talk   year on 
",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,25,25,1.05139e+18,"Is this the attitude of political parties in Tamil Nadu why are they not making a statement on the disgusting  issue Are they suppressing the victims am sure the union govt will bring appropriate measures to safeguard workplace harrassment 
",0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
26,26,26,26,1.05136e+18,"HimToo how an attempt to criticize  went delightfully wrong 
",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,27,27,1.0513e+18,"Had a bit of break Went to the beautiful Port Macquarie and nearby areas Absolutely stunning as usual beautiful  Australia auspol 
",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,28,28,1.05123e+18," changed the industry but there’s a lot that remains to be done 
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,30,30,30,1.05112e+18," movement  How we can make our workplace safe for us — Positive Side Of The Coin 
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,32,32,32,1.05089e+18,"SebGorka This is what the leftist proIslamist Democrat women amp CNN MSNBC BBC  support  
",0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
